Unnamed: 0,question_id,question_text,topic,answer_item_1,answer_item_2,answer_item_3,answer_item_4,answer_item_5,answer_item_6,answer_item_7,answer_item_8,answer_item_9
800,801,"['compani', 'concern', 'teach', 'section', 'despit', 'rule']",['psycholog'],"['live', 'husband', 'discov', 'present', 'tell', 'must', 'institut']","['sometim', 'without', 'firm', 'avoid', 'enjoy', 'admit', 'clearli', 'necessari', 'qualiti', 'measur', 'year', 'would', 'figur', 'goal', 'protect', 'court']","['respons', 'deal', 'big', 'piec', 'process', 'train', 'author', 'put', 'director', 'adult', 'throw', 'capit', 'month', 'chair', 'clearli']","['matter', 'sort', 'write', 'wife', 'human', 'film', 'easi', 'notic', 'later', 'trip', 'knowledg', 'feel']","['avoid', 'polit', 'wish', 'choic', 'pressur', 'hard', 'seek', 'human', 'offici', 'kind', 'exist', 'blue', 'charg', 'ahead']",,,,
801,802,"['area', 'away', 'vote', 'particular', 'citizen', 'valu', 'stand', 'posit', 'although', 'long', 'seven', 'red', 'manag']","['person', 'financ']","['hope', 'land', 'beyond', 'firm', 'six', 'comput', 'sever', 'compar', 'care']","['whether', 'station', 'eat', 'high', 'man', 'make', 'happen', 'type', 'variou']","['mouth', 'morn', 'direct', 'onto', 'messag', 'group', 'lay', 'final']",,,,,,
802,803,"['daughter', 'concern', 'hit', 'author', 'back', 'tri', 'staff', 'financi', 'later', 'secur', 'buy', 'skill']",['histori'],"['speech', 'view', 'mr', 'enter', 'hotel', 'like', 'beat', 'man', 'save', 'similar', 'gener', 'foot', 'chair']","['hand', 'make', 'expert', 'phone', 'signific', 'author', 'abil', 'exampl', 'attent', 'poor', 'peopl', 'today', 'sound', 'attent', 'degre', 'deal', 'garden', 'power', 'commerci', 'consum', 'tri']","['discus', 'natur', 'degre', 'particularli', 'collect', 'film', 'five', 'though']","['form', 'simpli', 'sens', 'big']","['shoulder', 'buy', 'lead', 'understand', 'white', 'former', 'recent', 'star', 'card', 'tough', 'avail', 'seem', 'noth', 'compani']","['worri', 'one', 'third', 'wall']","['tax', 'structur', 'next', 'popular', 'garden', 'although', 'let', 'minut', 'view', 'though', 'decis', 'admit', 'quit', 'attack', 'nice', 'nice']",,
803,804,"['marriag', 'senior', 'meet', 'director', 'know', 'bring', 'smile', 'music']","['environment', 'scienc']","['account', 'present', 'billion', 'along', 'offici', 'person', 'six', 'theori']","['popular', 'find', 'today', 'noth', 'drive']","['discus', 'agent', 'repres', 'behind', 'stori', 'manag', 'medic', 'run', 'data', 'commerci', 'doctor', 'walk']","['appear', 'seem', 'answer', 'environ', 'late', 'quit', 'choos', 'adult', 'languag', 'school', 'medium', 'main', 'charg', 'break', 'develop', 'respond', 'eight', 'campaign', 'floor', 'clearli', 'compani', 'summer', 'reflect', 'realiti']","['anim', 'interest', 'month', 'old', 'hot', 'true', 'popul', 'develop', 'pm', 'tradit', 'leave', 'minut', 'nearli', 'risk', 'contain', 'treat', 'explain', 'religi', 'think', 'adult', 'candid', 'languag', 'tell', 'thu']","['treatment', 'resourc', 'child', 'kind', 'identifi', 'tradit', 'creat', 'congress', 'exactli', 'collect', 'son', 'comput', 'mention', 'water', 'still', 'data', 'mind', 'anyon', 'write', 'recogn', 'reach', 'common', 'sourc']","['purpos', 'wife', 'mission', 'poor', 'train', 'centuri', 'indic', 'establish', 'suffer', 'presid', 'first', 'singl', 'expect', 'go', 'forget', 'late', 'number', 'difficult', 'read', 'mother']","['stop', 'food', 'easi', 'minut', 'serv', 'place', 'common', 'option', 'admit', 'leg', 'music', 'team', 'talk', 'catch', 'inde', 'person', 'show', 'theori', 'tradit', 'size', 'reflect', 'name', 'town']",
804,805,"['movement', 'support', 'answer', 'view', 'artist', 'reason', 'born']",['educ'],"['father', 'environment', 'six', 'develop', 'land', 'cover', 'answer', 'name', 'law', 'spend', 'respons', 'signific', 'mean', 'forc', 'guy', 'free', 'benefit']","['democrat', 'figur', 'address', 'back', 'cours', 'republican', 'futur', 'buy']","['increas', 'agreement']","['blue', 'dinner', 'girl', 'loss', 'son', 'war', 'oper', 'similar']","['start', 'presid', 'throughout', 'poor', 'floor', 'inde', 'fear', 'cut', 'languag', 'catch', 'simpl', 'condit', 'key', 'wall', 'direct', 'report', 'comput', 'far', 'world', 'health']","['relationship', 'win', 'quit', 'offic', 'stuff', 'religi', 'offic', 'black', 'state', 'activ', 'even', 'medium', 'protect', 'garden', 'share']","['defens', 'old', 'hit', 'employe', 'later', 'dog', 'take', 'man', 'rule', 'skill', 'fish', 'peopl', 'mother', 'other', 'natur', 'stuff', 'mr']",,
805,806,"['western', 'standard', 'famili', 'number', 'cut', 'unit']","['career', 'develop']","['understand', 'famili', 'suffer', 'receiv', 'even', 'think', 'product', 'board', 'profession']","['forward', 'money', 'word', 'method', 'send', 'countri', 'teacher', 'materi', 'radio', 'rate', 'rest', 'water', 'pretti', 'stori', 'budget', 'bring', 'price', 'rule', 'exactli', 'employe', 'number']","['presid', 'memori', 'relat', 'action', 'region', 'hospit', 'product', 'arm', 'issu', 'sister', 'civil', 'owner', 'play', 'yard', 'spend', 'matter', 'still', 'unit', 'rest', 'staff', 'major', 'across', 'two', 'address', 'total']","['instead', 'form', 'machin', 'popul', 'child', 'true', 'watch', 'write', 'season', 'news', 'car', 'prepar', 'former', 'surfac', 'wife', 'system', 'energi', 'voic', 'fund', 'soon', 'list', 'key']",,,,,
806,807,"['feel', 'quickli', 'rate', 'financi', 'research', 'major', 'reduc', 'carri', 'cell', 'could', 'morn']","['machin', 'learn']","['easi', 'walk', 'success', 'cours']","['later', 'system', 'major', 'senior', 'truth', 'upon', 'half', 'section', 'current', 'modern', 'blood', 'pick']","['custom', 'natur', 'often', 'black', 'finish', 'worri', 'west', 'might', 'rule', 'number', 'forc', 'feder', 'present', 'radio', 'deep', 'tax', 'determin', 'foot', 'alway', 'news']",,,,,,
807,808,"['valu', 'polit', 'contain', 'offic', 'busi', 'degre', 'rock', 'centuri', 'full', 'whose', 'suddenli', 'allow', 'southern', 'job', 'occur']","['climat', 'chang']","['red', 'candid', 'art', 'heavi', 'clearli', 'name', 'three', 'wear', 'time', 'west', 'cours']","['believ', 'practic', 'class', 'hundr', 'gener', 'type', 'reflect', 'art', 'none', 'break', 'languag', 'properti', 'partner', 'central', 'admit', 'enough']","['writer', 'yet', 'shake', 'strong', 'attack', 'leader', 'troubl', 'buy', 'enough', 'modern', 'father']","['modern', 'theori', 'director', 'begin', 'experi', 'wait', 'interest', 'ever', 'safe', 'area']",,,,,
808,809,"['involv', 'natur', 'local', 'differ', 'thousand', 'church']",['cybersecur'],"['live', 'natur', 'item', 'lead', 'ga', 'number', 'new', 'action', 'fli', 'partner', 'sever', 'join', 'doctor']","['necessari', 'agre', 'claim', 'lawyer', 'ever']","['would', 'car', 'good', 'suffer', 'interest', 'near', 'listen', 'even', 'pressur', 'plan']","['leg', 'black', 'bodi', 'instead', 'seek', 'suffer', 'make', 'sound', 'prepar', 'travel', 'reduc', 'environ', 'fast', 'kitchen', 'ok', 'career', 'hair', 'scienc', 'fill']","['fine', 'doctor', 'weight', 'certainli', 'indic']","['support', 'beat', 'money', 'job', 'perhap', 'marriag', 'sport', 'easi', 'soon', 'manag', 'none', 'thought', 'stay', 'toward', 'someth', 'form', 'price', 'someon', 'prove', 'simpl', 'babi', 'rate', 'becom']","['identifi', 'career', 'north', 'man', 'poor', 'time', 'scene', 'sure', 'democrat', 'caus', 'singl']","['rang', 'want', 'guy', 'civil', 'project', 'serv', 'import', 'letter', 'direct', 'professor', 'cold', 'speak', 'candid', 'none', 'interest', 'effect', 'foot', 'much', 'nearli', 'pick', 'central']","['southern', 'rock', 'art', 'first', 'final', 'american', 'rememb']"
809,810,"['meet', 'well', 'amount', 'purpos', 'central', 'presid', 'big', 'north', 'race', 'mani', 'west']","['quantum', 'comput']","['know', 'kitchen', 'challeng', 'signific', 'result', 'oper', 'word', 'cold', 'compar', 'senior', 'notic', 'run', 'kind', 'young', 'differ', 'old', 'build']","['hospit', 'year', 'build', 'goal', 'organ', 'section', 'leav', 'loss', 'fact', 'pretti', 'local', 'toward', 'make']","['societi', 'resourc', 'memori', 'hair', 'rise', 'decis', 'time', 'identifi', 'book', 'truth', 'life', 'cell', 'buy', 'countri', 'develop', 'claim', 'nice', 'around']","['mean', 'tv', 'region', 'forward']","['eye', 'develop', 'expect', 'board', 'evid', 'comput', 'onto', 'sound', 'middl', 'hundr', 'leave']","['line', 'clearli', 'howev', 'account', 'indic', 'stage', 'network', 'front', 'three', 'admit', 'magazin', 'colleg', 'certain', 'sort', 'green', 'may', 'includ', 'although']","['someon', 'short', 'red', 'entir', 'north', 'signific', 'exist', 'offic', 'republican', 'yard', 'also', 'social', 'democrat', 'sell', 'scientist', 'middl']",,
