question_id,topic_tokenized,answer_item_1_tokenized,answer_item_2_tokenized,answer_item_3_tokenized,answer_item_4_tokenized,answer_item_5_tokenized,answer_item_6_tokenized,answer_item_7_tokenized,answer_item_8_tokenized,answer_item_9_tokenized
201,"climat,chang","speech,recent,age,seat,help,commun,inform,staff,black,fight,beyond,sing,idea,strong,never,suddenli,ahead,tv,anyon,reach,despit,class,design","possibl,better,everi,whatev,fire,babi,night","republican,site,societi,least,econom,carri,make,busi,possibl,throw,medic,energi,begin,treat,beyond,meet,level,list,accord,commun,stock,cost,strategi,age,ago","pa,present,requir,follow,ball",,,,,
202,"space,explor","account,ok,crime,sing,young,role,interest,act,across,particularli,group","eight,secur,specif,movement,need,check,still","movement,begin,cover,mother,east,high,million,two","section,rais,lose,right,cut,play,church,consum,physic,alreadi,quit,comput,lose,mean,mani","staff,babi,parent,open,might,cup,comput,occur,congress,next,test,worri,major,medic,blood","also,night,bank,becom,eat,wall,trip,moment,must","polit,money,machin,worri,choic,everyon,hand,dark,best,along,later,pm,crime,oper","determin,cup,let,smile,interview,station,messag,last,get,would,design","cover,trade,man,attent,ago,avail,differ,power,affect,often,live,floor"
203,entrepreneurship,"suffer,suggest,budget,wrong,part,specif,big,ball,south,mention,paper,design,interview,decad,question,energi,real","defens,certainli,parti,cover,bit,start,drive,requir,beyond,cultur,fill,lead,shake,differ,shake,speak,anoth","program,though,cut,teacher,person,detail,pay,ball,great,field,town,eat","close,valu,area","reduc,appli,summer,two,eat,song,girl,let,say,ten,militari,standard,confer,prevent,friend,section,hold,soldier,societi,throw,success,realiti,respons",,,,
204,"artifici,intellig","daughter,soldier,soon,agenc,action,school,seek,seven,arm,air,ever","bodi,action,lawyer,truth,particular,countri,career,break,scienc,grow,throughout,languag,walk,feel,explain","artist,year,tv,type,arm,marriag,idea,grow,director,recogn,troubl,worker,within,administr,still,treat,futur,region,environ,draw,commun","research,oper,watch,task,south,develop,seriou,treatment,minut,factor,wide,teach","choic,commerci,spend,third,like,area,answer,troubl,audienc","success,train,law,manag,move,realiz,air,blue","beauti,charg,situat,garden,bag,charg,hotel,current,religi,data,import",,
205,"artifici,intellig","last,strong,stock,interview,new,argu","last,new,scene,ga,colleg,import,mayb,base,standard,view,opportun,interest,sinc","agre,enjoy,wide,religi,easi,build,send,clear,stage,miss,oil,administr,follow,subject,help,fall,pay,coupl,spring,wall,base","thank,forward,provid,tri,go","owner,whatev,speech,least,deal,accept,sometim,scientist,whole","answer,sound,thu",,,
206,"machin,learn","becom,grow,choic,relationship,happi,scene,nation,want,kind,name,current,bodi,debat,languag","part,effect,former,custom,year","help,includ,natur,staff,fast,live",,,,,,
207,psycholog,"better,end,articl,work,tv,final,mouth,find,chair,find,notic,sit,player,agent,thank,interest,plant","threat,wear,almost","want,social,act,exactli,tree,see,form,ever,creat,total,pretti,inde,hot","instead,across,among,whatev,energi,catch,heavi,draw,part,along","congress,tell,ahead,manag,peopl,friend,form,impact,school,deep,cost,notic,section,hope,import,relationship,specif,laugh,degre,organ,water,return,much,one","anim,alreadi,necessari,door,take,lot,creat,great",,,
208,"digit,market","product,magazin,page,soldier,hair,street,address,door,research,western,price,economi,relationship,whose,edg","easi,probabl,old,even,prepar,nation,never,colleg,thank,near,main,instead,behind,nice,appli,move,age,first,staff,art,trial","senior,film,tonight,sure,democrat,manag,u,beyond,star,earli,right","method,sever,troubl,interest,troubl,relat,mean,chang,medium,avail,rich,imag,bar,explain,certainli,use",,,,,
209,"web,develop","avail,boy,requir,model,requir,wide,inde,score,sister","approach,insid,door,daughter,despit,care,trial,statement,ye,assum,new,owner,thing,per,suffer,whatev,stuff,histori,world,threat","want,polic,right,action,worker,entir,today","anim,question,stay,live,second,degre,civil,director,ground,firm,polit",,,,,
210,"health,fit","data,say,produc,deep,street","democrat,air,new,enough,end,central,marriag,trial,offic","agent,sing,born,wind,seven,energi,firm,institut,hotel,receiv,worri","scene,staff,major,southern,head,attack,shoulder,commerci,past,account,rich,nation,somebodi,radio,certainli",,,,,
