question_id,topic_tokenized,answer_item_1_tokenized,answer_item_2_tokenized,answer_item_3_tokenized,answer_item_4_tokenized,answer_item_5_tokenized,answer_item_6_tokenized,answer_item_7_tokenized,answer_item_8_tokenized,answer_item_9_tokenized
401,cybersecur,"properti,old,budget,treatment,anoth,everybodi,colleg,train,page,box,song,even,line,nation,energi,tv,avoid,particular,properti,play,throughout,administr,recogn,specif,best,board,remain,offic","year,chanc,edg,materi,servic,wish,think,voic,follow,ask,deal,none,never,full,quickli,lay,lot","develop,seven,stand,studi","statement,increas,ask,seri,sport,start,board,blue,lawyer,choos,ago,hospit,popul,strong,relationship","eat,fact,ever,heavi,civil","result,leg,financi,glass","western,without,pa,dream,husband,without","pull,pay,vote,class,race,food,nice,congress,hot,argu,skin,natur,though,crime,manag,cover,cup,describ,posit,form,day","think,believ,cover,gener,third,attent,similar,bring,end,includ,foot,public,individu,rest,blue,drug,box,talk,toward,parti,custom,free,chair,happen,low"
402,"digit,market","requir,space,physic,treatment,inde,leader,week,reach,arm,scientist,research,machin,mean,mayb,home,pa,teacher","great,part,agreement,mind,note","left,enough,expert,speech,author,research,choos,structur,coach,either,environ,law,region,everyth,worri,clearli,order,tax,success","great,contain,morn,discuss,arriv,school","still,parent,alway,consum,rather,posit,follow","ga,action,member,doctor,paint,littl,idea,environ,point,challeng,similar,democrat,window,along,quickli,invest,back","recogn,sing,act,behavior,either,mr,appear,realiti,attorney,real,differ,behind,morn","draw,team,hour,moment,born,decad,think,read,tax",
403,"person,financ","forget,standard,surfac,sort,threat,seriou,economi,discov,condit","bed,point,black,presid,whole,whose,individu,natur,employe,rule,littl,recogn,case,whether,walk,particularli,colleg","attorney,everi,right,writer","sourc,rise,everybodi,day,spend,alway,simpli,product,attorney","whether,offici,usual,huge,first,money,travel,space,toward,group,today","pa,crime,trade,describ,properti,win,purpos,attorney,enter,happi,region,necessari,paper,despit,differ,bar,sea,pattern","line,televis,car,custom,degre,sens,surfac,scene,style,voic,consid,kind,five,student,past,product,actual,term,fund","could,car,machin,elect,feel,sea,role","maintain,address,bit,attack,close,forward,hous,appli,medic,help,receiv,sourc"
404,"climat,chang","trial,state,peopl,improv,total,threat,young,particularli,indic,interview,rate,popul,societi,thing,new,upon,within,pa,cut,line,idea,sinc,drug,star,act,polit,late,health,common,ok,gener,within,necessari","skill,door,interest,page,sourc,abil","societi,mani,mr,paper,away","music,hand,charact,magazin,budget,materi,clear,daughter,plan,hot,articl,much,signific,accord,wide,increas,decis,econom,fact,popular,singl,car,chang,owner,great,peac,technolog","act,littl,discuss,differ,arm,week,road,materi,save,gener,race,skin,offer",,,,
405,histori,"reach,quickli,sort,bad,chair,rather,much,bar,technolog,sever,howev,relat,profession,imagin","game,recent,lead,heavi,lay,turn,claim,along,indic,individu,arriv,increas,gener,poor,probabl,nation,anim,compani,field,send,take","summer,rise,support,clearli,leader,discov,discov,top,ground,home,buy,woman,everi,train,cours,nice,point,reduc,ahead,window","soon,everyon,deal,unit,certain,polic,father,throw,deep","moment,turn,free,ahead,televis,agreement,hair,offici,live,surfac,avoid,fli,recogn,light,simpli,let,appli,choic,togeth,near,town,final,visit","travel,challeng,goal,grow,futur,drive,contain,elect,major,truth,mean,foreign,tri,religi,foreign,put,tell,teach,scene,shake,physic,season","differ,modern,comput,deal,nation,theori,occur,direct,area,audienc,girl,page,agre,guy,actual,behavior,hear,like,measur,site,soldier,life,second,hair,husband,dark",,
406,"quantum,comput","discov,pressur,help,month,fall,spend,star,act,everyon,red,adult,take,could,bodi,gener,whole,messag,someth,miss,feel,unit,dog,improv,person,scienc","live,custom,might,everybodi,look,start,mean,among,certainli","check,use,ask,morn,ok,treatment,step,per,fight,attent,machin,school,help","inform,base,stock,scene,realiz,tonight,send,share,dark,peac,total,sure,attack,mean,window,far,set,upon,statement,stage,wife,receiv,order,hand,thing","explain,product,pattern,later,support,read,differ,thank,director,world,wide,million,one,campaign,american,commun,spend,rather,pressur,develop,support,servic,station,centuri","anyon,avail,place,compar,rememb,think,guy,bank,color","market,kind,accord,bad,person,u,respond,current,els,exactli","other,newspap,recent,happi,involv,affect,decid,develop,bed,cell,issu,arm,presid,dog,pictur,polit,subject,cultur,earli,air,south","stuff,special,believ,cost,gener,like,confer"
407,"career,develop","nation,success,leg,child,design,last","guess,resourc,consid,result,seven,whole,choos,technolog,fear,pm,word,experi","board,feder,machin,help,later,doctor,choos,western,pick","democrat,receiv,option,author,kind,sens,discu,worri,wish,compani,south,month,son,natur,exist,gener,believ,valu,sort,stay,number","safe,cost,histori,paint,watch,interest,last,feel","administr,option,fear,make,state,realli","send,safe,way,administr,cover,quickli,tonight","religi,identifi,alway,win,firm,ahead,student,reveal,major,technolog",
408,"health,fit","avail,though,join,play,clear,suffer,eight,provid,find","meet,els,seven,better,half,case,wait,statement,catch,tabl","experi,stand,cover,face,open,south,polici,centuri,offici,easi,none,even,languag,way,actual,staff","method,hold,drive,anyth","impact,open,fact,develop,think,marriag,figur,tree,intern","lay,indic,seek,term,messag,food,real,quickli,growth,local,night,concern","kid,mention,special,type,push,miss,color,variou,door,imag,inde,thousand,offici,prepar,involv,expert,agreement,eat,accept,first,around,weight,final,partner,air,heavi,class,practic",,
409,blockchain,"tell,pressur,educ,sound,also,style,along,larg,long,instead,leg","insid,major,least,price,improv,qualiti,littl,face,drop,alway,form,mr,major,sell,feder,vote,accord,none,hold","determin,want,challeng,unit,anoth","dog,town,girl,yet,grow,street,full,role,moment,realli",,,,,
410,sociolog,"benefit,offic,stop,voic,bag,measur,sister,must,great","els,produc,coupl,ask,firm,exactli,gener,similar,singl,mani,number,stage,act","local,chanc,partner,parent,moment,standard,race,green,work,machin,know,republican,remain,central,offic,mission,light,kind,movi,yet,appli,civil,wait","face,scene,low,wife,offic,deep,wear,confer,make,say,democrat,day","opportun,manag,low,whole,fall,take,team,respons,board,wonder,high","food,measur","educ,scene,piec,readi,agreement,scienc,necessari,agenc,agre,pattern,south,work,artist,fine,per,find,smile,amount,bag,eat,ago,affect","agre,affect,understand,guess,rang,color,coupl,room,protect,continu,hope,word,sound,also,cost,husband,process",
